Felipe Lira Santana Silva - Bolsista do CNPQ modalidade PIBIC - Unifei
Projeto de Pesquisa: Futebol Simulado 2D-Uma aplicação de Aprendizagem por reforço
Estados: 82944 Ações: 13
Resultados da Aprendizagem por Reforco
Jogador 11
Inicio
Gols a favor;Gols contra;Contagem das ações 0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12;Iteracoes;Numero do Jogo
0;0;0;0;0;0;0;0;0;0;0;0;88;96;105;288;0
0;1;20;11;16;22;20;21;15;10;13;21;49;70;77;652;1
0;0;0;0;0;0;0;0;0;0;0;20;22;16;14;723;2
0;0;0;0;0;0;0;0;0;0;0;0;62;62;74;920;3
0;0;0;0;0;0;0;0;0;0;0;0;15;15;23;972;4
0;0;18;24;19;22;30;26;21;21;28;0;9;11;12;1212;5
0;0;15;17;18;23;21;30;18;15;14;0;7;11;10;1410;6
0;5;57;61;74;55;71;64;65;58;72;13;156;160;156;2471;7
0;1;31;51;37;42;34;31;44;42;40;2;95;101;86;3106;8
0;0;3;4;6;3;1;6;0;6;12;0;34;44;36;3260;9
0;4;8;11;6;12;7;6;9;8;13;162;168;161;161;3991;10
0;2;3;5;2;1;1;1;1;3;2;36;39;32;39;4155;11
0;0;3;10;4;6;11;2;2;8;8;113;123;112;115;4671;12
0;2;7;9;12;11;10;14;9;12;18;159;180;153;177;5441;13
0;0;2;3;3;1;1;2;1;3;4;37;42;30;48;5617;14
0;2;6;5;6;4;9;5;8;5;10;101;102;100;100;6077;15
0;0;0;0;0;1;0;0;0;0;0;15;10;10;16;6128;16
0;1;1;6;2;8;5;9;5;2;7;107;110;108;104;6601;17
0;0;1;6;4;3;3;1;2;3;4;56;67;58;55;6863;18
0;0;35;39;37;37;30;24;32;46;35;219;241;232;276;8145;19
0;0;5;11;10;9;13;11;11;8;14;49;58;49;50;8442;20
0;4;28;25;40;38;41;28;30;22;42;714;718;764;747;11678;21
0;1;34;28;36;49;40;42;35;48;37;450;473;492;479;13920;22
0;3;24;19;24;20;32;39;23;28;16;484;525;510;541;16204;23
0;3;28;40;21;32;28;24;25;28;33;490;523;505;540;18520;24
0;0;4;6;4;3;5;4;7;4;9;120;114;116;118;19033;25
0;1;40;27;28;36;25;39;40;28;37;1198;1190;1113;1168;24001;26
0;6;72;33;31;39;40;27;24;39;35;480;447;500;518;26285;27
0;2;84;38;30;25;24;31;18;33;30;419;454;452;471;28393;28
